index,text,kontext,klassifikation.tore_bayern,klassifikation.tore_gegner,klassifikation.phase,meta.saison,meta.spieltag,meta.heim_auswaerts,meta.gegner,meta.tabelle,meta.ballbesitz_bayern,ergebnis.bayern,ergebnis.gegner,offizielle.schiedsrichter,offizielle.kommentator,source_file,sentiment__fine_tuned_german_sentiment,sentiment__fine_tuned_german_sentiment__conf,sentiment__xlm-roberta-base,sentiment__xlm-roberta-base__conf,sentiment__german-sentiment-bert,sentiment__german-sentiment-bert__conf,sentiment__german-news-sentiment-bert,sentiment__german-news-sentiment-bert__conf
0,Das erste Duell der Großkopferten seit dem Meisterschafts-Foto-Finish vor 5 Monaten und 9 Tagen.,Neutral,0,0,0,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.88,Neutral,0.9173,Neutral,1.0,Neutral,0.9895
1,Ein Tor fehlte der Borussia zur Schale.,Borussia Dortmund,0,0,0,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9411,Positiv,0.5292,Neutral,0.9815,Neutral,0.4666
2,Meister waren die Schwarzgelben für nur 8 Minuten.,Borussia Dortmund,0,0,0,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.8543,Positiv,0.571,Neutral,1.0,Neutral,0.9847
3,Drei Tage nach Saarbrücken also Dortmund.,Borussia Dortmund,0,0,0,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.7713,Positiv,0.5286,Neutral,0.9587,Neutral,0.4698
4,Die Münchner starten die Mission Wiedergutmachung couragiert.,FC Bayern München,0,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.8641,Negativ,0.5101,Neutral,0.9991,Neutral,0.7291
5,"Musiala gegen Hummels, Musiala, erste Ecke, eine bayerische.",FC Bayern München,0,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9736,Positiv,0.541,Neutral,1.0,Neutral,0.9721
6,In Abwesenheit von Joshua Kimmich ist jede Ecke eine für Leroy Sané.,FC Bayern München,0,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.8558,Positiv,0.5014,Neutral,1.0,Neutral,0.9269
7,"Vor der Südtribüne Sané und in der Mitte vogelfrei: Dayot Upamecano, ausgerechnet der, vor vier Wochen verletzt, seit Montag erst im Training hier und heute Torschütze.",FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.8224,Positiv,0.6438,Neutral,1.0,Neutral,0.6511
8,Schauen wir auf das Pärchen Schlotterbeck und Upamecano vor der Ecke.,Neutral,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.8217,Neutral,0.8531,Neutral,1.0,Neutral,0.9771
9,Das Lächeln des Dortmund-Verteidigers ist dann schnell vergangen.,Borussia Dortmund,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.7506,Negativ,0.5085,Neutral,0.9994,Neutral,0.9026
10,"Scharfe Hereingabe, unerreicht von allen Borussen.",Borussia Dortmund,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.9074,Negativ,0.5139,Neutral,0.9957,Negativ,0.689
